beefy	He was a big, beefy man with hardly any neck, although he did have a very large mustache.	"{'a. (牛)多肉的, 象牛肉的, 粗壮的, 结实的', ""'bi:fi"", 'beefy', 's. muscular and heavily built'}"
bravery	There are more important things — friendship and bravery and — oh Harry — be careful!”“You drink first,” said Harry.	"{'bravery', 'n. 勇敢', 'n a quality of spirit that enables you to face danger or pain without showing fear\nn feeling no fear', ""'breivәri""}"
belting	They were off.“And the Quaffle is taken immediately by Angelina Johnson of Gryffindor — what an excellent Chaser that girl is, and rather attractive, too —”“JORDAN!”“Sorry, Professor.”The Weasley twins’ friend, Lee Jordan, was doing the commentary for the match, closely watched by Professor McGonagall.“And she’s really belting along up there, a neat pass to Alicia Spinnet, a good find of Oliver Wood’s, last year only a reserve — back to Johnson and — no, the Slytherins have taken the Quaffle, Slytherin Captain Marcus Flint gains the Quaffle and off he goes — Flint flying like an eagle up there — he’s going to sc— no, stopped by an excellent move by Gryffindor Keeper Wood and the Gryffindors take the Quaffle — that’s Chaser Katie Bell of Gryffindor there, nice dive around Flint, off up the field and — OUCH — that must have hurt, hit in the back of the head by a Bludger — Quaffle taken by the Slytherins — that’s Adrian Pucey speeding off toward the goal posts, but he’s blocked by a second Bludger — sent his way by Fred or George Weasley, can’t tell which — nice play by the Gryffindor Beater, anyway, and Johnson back in possession of the Quaffle, a clear field ahead and off she goes — she’s really flying — dodges a speeding Bludger — the goal posts are ahead — come on, now, Angelina — Keeper Bletchley dives — misses — GRYFFINDORS SCORE!”Gryffindor cheers filled the cold air, with howls and moans from the Slytherins.“Budge up there, move along.”“Hagrid!”Ron and Hermione squeezed together to give Hagrid enough space to join them.“Bin watchin’ from me hut,” said Hagrid, patting a large pair of binoculars around his neck, “But it isn’t the same as bein’ in the crowd.	"{""'beltiŋ"", 'belting', 'n. the material of which belts are made', 'n. 带料, 带类\n[机] 皮带(传动)装置'}"
spinner	[]	"{""'spinә"", 'n. 纺纱工人, 旋床工人, 纺纱机, 机头罩, 旋转动作, (美)(非正式)卡车司机\n[计] 微调控制项', ""n. someone who spins (who twists fibers into threads)\nn. board game equipment that consists of a dial and an arrow that is spun to determine the next move in the game\nn. fisherman's lure; revolves when drawn through the water"", 'spinner'}"
puce	[]	{'n. a color varying from dark purplish brown to dark red', 'puce', 'n. 紫褐色\na. 紫褐色的', 'pju:s'}
speck	“Harry hasn’t had much to do yet.”“Kept outta trouble, though, that’s somethin’,” said Hagrid, raising his binoculars and peering skyward at the speck that was Harry.Way up above them, Harry was gliding over the game, squinting about for some sign of the Snitch.	{'n. a very small spot\nv. produce specks in or on', 'n. 斑点, 有斑点的东西, 污点, 缺点, 微粒, 肥肉\nvt. 使有斑点', 'spek', 'speck'}
flint	[]	{'flint', 'n. 打火石, 燧石, 极硬的东西\n[化] 燧石', 'n. a hard kind of stone; a form of silica more opaque than chalcedony\nn. a river in western Georgia that flows generally south to join the Chattahoochee River at the Florida border where they form the Apalachicola River\nn. a city in southeast central Michigan near Detroit; automobile manufacturing'}
murmur	He could just see the bundle of blankets on the step of number four.“Good luck, Harry,” he murmured.	"{'n. 低语, 低声的怨言\nvi. 低语, 低声而言\nvt. 低声说', 'murmur', ""v. speak softly or indistinctly\nv. make complaining remarks or noises under one's breath"", ""'mә:mә""}"
streak	You leave those brooms where they are or you’ll be out of Hogwarts before you can say ‘Quidditch.’ Come on, dear.”Neville, his face tearstreaked, clutching his wrist, hobbled off with Madam Hooch, who had her arm around him.No sooner were they out of earshot than Malfoy burst into laughter.“Did you see his face, the great lump?”The other Slytherins joined in.“Shut up, Malfoy,” snapped Parvati Patil.“Ooh, sticking up for Longbottom?” said Pansy Parkinson, a hardfaced Slytherin girl.	{'streak', 'stri:k', 'n. 条理, 斑纹, 倾向\nvt. 加条纹\nvi. 变成条纹, 飞跑', 'n. an unbroken series of events\nn. a distinctive characteristic\nn. a sudden flash (as of lightning)\nv. move quickly in a straight line'}
spurt	Neck and neck they hurtled toward the Snitch — all the Chasers seemed to have forgotten what they were supposed to be doing as they hung in midair to watch.Harry was faster than Higgs — he could see the little round ball, wings fluttering, darting up ahead — he put on an extra spurt of speed —WHAM!	{'v. gush forth in a sudden stream or jet', 'spurt', 'n. 喷射, 冲刺\nvt. 喷射\nvi. 喷出, 迸发, 冲刺', 'spә:t'}
spun	A roar of rage echoed from the Gryffindors below — Marcus Flint had blocked Harry on purpose, and Harry’s broom spun off course, Harry holding on for dear life.“Foul!” screamed the Gryffindors.Madam Hooch spoke angrily to Flint and then ordered a free shot at the goal posts for Gryffindor.	"{'spun', 'a. 纺成的\nspin的过去式和过去分词', ""v revolve quickly and repeatedly around one's own axis\nv stream in jets, of liquids\nv cause to spin\nv make up a story\nv form a web by making a thread\nv work natural fibers into a thread\nv twist and turn so as to give an intended interpretation\nv prolong or extend"", 'spʌn'}"
yelling	But in all the confusion, of course, the Golden Snitch had disappeared from sight again.Down in the stands, Dean Thomas was yelling, “Send him off, ref!	{'yelling', 'jelɪŋ', 'v. 叫喊, 号叫, 叫着说( yell的现在分词 )', 'n. uttering a loud inarticulate cry as of pain or excitement'}
disgusting	Flint coulda knocked Harry outta the air.”Lee Jordan was finding it difficult not to take sides.“So — after that obvious and disgusting bit of cheating —”“Jordan!” growled Professor McGonagall.“I mean, after that open and revolting foul…”“Jordan, I’m warning you —”“All right, all right.	"{""dis'gʌstiŋ"", 'a. 令人厌恶的', 'disgusting', 's. highly offensive; arousing aversion or disgust'}"
cheating	Flint coulda knocked Harry outta the air.”Lee Jordan was finding it difficult not to take sides.“So — after that obvious and disgusting bit of cheating —”“Jordan!” growled Professor McGonagall.“I mean, after that open and revolting foul…”“Jordan, I’m warning you —”“All right, all right.	"{'cheating', '[经] 行骗', ""'tʃi:tiŋ"", 's. violating accepted standards or rules'}"
spinning	Flint nearly kills the Gryffindor Seeker, which could happen to anyone, I’m sure, so a penalty to Gryffindor, taken by Spinner, who puts it away, no trouble, and we continue play, Gryffindor still in possession.”It was as Harry dodged another Bludger, which went spinning dangerously past his head, that it happened.	"{'n. creating thread', 'n. 纺纱\n[化] 纺丝', 'spinning', ""'spiniŋ""}"
dangerously	Flint nearly kills the Gryffindor Seeker, which could happen to anyone, I’m sure, so a penalty to Gryffindor, taken by Spinner, who puts it away, no trouble, and we continue play, Gryffindor still in possession.”It was as Harry dodged another Bludger, which went spinning dangerously past his head, that it happened.	{'dangerously', '', 'adv. 危险, 不安全', 'r in a dangerous manner'}
frightening	His broom gave a sudden, frightening lurch.	"{""'fraitәniŋ"", 'a. 令人恐惧的；引起突然惊恐的', 'frightening', 'n the act of inspiring with fear\nv cause fear in\nv drive out by frightening\ns causing fear or dread or terror'}"
lurch	Please leave your luggage on the train, it will be taken to the school separately.”Harry’s stomach lurched with nerves and Ron, he saw, looked pale under his freckles.	{'n. an unsteady uneven gait\nn. a decisive defeat in a game (especially in cribbage)\nn. abrupt up-and-down motion (as caused by a ship or other conveyance)\nn. the act of moving forward suddenly', 'lurch', 'n. 惨败, 倾斜, 挫折, 举步蹒跚, 徘徊\nvi. 惨败, 倾斜, 徘徊\nvt. 击败', 'lә:tʃ'}
unseated	It was zigzagging through the air, and every now and then making violent swishing movements that almost unseated him.Lee was still commentating.“Slytherin in possession — Flint with the Quaffle — passes Spinnet — passes Bell — hit hard in the face by a Bludger, hope it broke his nose — only joking, Professor — Slytherins score — A no…”The Slytherins were cheering.	"{""v remove from political office\nv dislodge from one's seat, as from a horse"", 'ʌnˈsi:tid', 'v. （马）把（骑手）摔下来( unseat的过去式和过去分词 ); 夺去（议员等的）席位; 革除（职位）; 使失去资格', 'unseated'}"
cheering	It was zigzagging through the air, and every now and then making violent swishing movements that almost unseated him.Lee was still commentating.“Slytherin in possession — Flint with the Quaffle — passes Spinnet — passes Bell — hit hard in the face by a Bludger, hope it broke his nose — only joking, Professor — Slytherins score — A no…”The Slytherins were cheering.	"{'n. 欢呼, 喝彩\na. 令人振奋的, 令人高兴的', ""'tʃiәriŋ"", 'n. encouragement in the form of cheers from spectators', 'cheering'}"
interfere	“Can’t nothing interfere with a broomstick except powerful Dark magic — no kid could do that to a Nimbus Two Thousand.”At these words, Hermione seized Hagrid’s binoculars, but instead of looking up at Harry, she started looking frantically at the crowd.“What are you doing?” moaned Ron, grayfaced.“I knew it,” Hermione gasped, “Snape — look.”Ron grabbed the binoculars.	"{"".intә'fiә"", 'interfere', 'v. come between so as to be hindrance or obstacle', 'vi. 妨碍, 冲突, 干涉, 抵触\n[医] 干扰, 干涉, 阻碍, 碰腿(马)'}"
nonstop	He had his eyes fixed on Harry and was muttering nonstop under his breath.“He’s doing something — jinxing the broom,” said Hermione.“What should we do?”“Leave it to me.”Before Ron could say another word, Hermione had disappeared.	"{'nonstop', 'a. 直达的, 不着陆的, 不休息的\nadv. 不休息地\nn. 直达车, 直达行驶', ""nɒn'stɒp"", 's. (of a journey especially a flight) occurring without stops\nr. without stopping'}"
vibrating	His broom was vibrating so hard, it was almost impossible for him to hang on much longer.	"{'vibrating', 'v shake, quiver, or throb; move back and forth rapidly, usually in an uncontrolled manner\nv move or swing from side to side regularly\nv be undecided about something; waver between conflicting positions or courses of action\nv sound with resonance\nv feel sudden intense sensation or emotion', ""vai'breitiŋ"", '[电] 振动; 振动的'}"
circled	They dropped lower and circled beneath him, obviously hoping to catch him if he fell.	{' 均衡的', 'circled', 'v travel around something\nv move in circles\nv form a circle around', 'ˈsə:kld'}
headfirst	Marcus Flint seized the Quaffle and scored five times without anyone noticing.“Come on, Hermione,” Ron muttered desperately.Hermione had fought her way across to the stand where Snape stood, and was now racing along the row behind him; she didn’t even stop to say sorry as she knocked Professor Quirrell headfirst into the row in front.	{'', 's. with the head foremost', 'headfirst', 'adv. 头在前'}
crouched	Reaching Snape, she crouched down, pulled out her wand, and whispered a few, wellchosen words.	"{""v bend one's back forward from the waist on down\nv sit on one's heels"", 'v. 屈膝, 蹲伏( crouch的过去式和过去分词 )', 'krautʃt', 'crouched'}"
yelp	A sudden yelp told her she had done her job.	{'n. 尖声急叫, 狺吠, 叫喊声\nvi. 尖声急叫, 叫吠, 叫喊\nvt. 叫喊着说', 'yelp', 'jelp', 'v. bark in a high-pitched tone'}
clamber	Hagrid folded up his newspaper, and they clambered up the stone steps onto the street.Passersby stared a lot at Hagrid as they walked through the little town to the station.	"{'n. 攀登, 爬上\nv. 爬上, 攀登', 'n. an awkward climb\nv. climb awkwardly, as if by scrambling', 'clamber', ""'klæmbә""}"
sobbing	Neville had been sobbing into Hagrid’s jacket for the last five minutes.Harry was speeding toward the ground when the crowd saw him clap his hand to his mouth as though he was about to be sick — he hit the field on all fours — coughed — and something gold fell into his hand.“I’ve got the Snitch!” he shouted, waving it above his head, and the game ended in complete confusion.“He didn’t catch it, he nearly swallowed it,” Flint was still howling twenty minutes later, but it made no difference — Harry hadn’t broken any rules and Lee Jordan was still happily shouting the results — Gryffindor had won by one hundred and seventy points to sixty.	"{'n convulsive gasp made while weeping\nv weep convulsively', 'sobbing', ""'sɔbiŋ"", '[医] 呜咽'}"
clap	One thing was certain, there was no television in there.“Storm forecast for tonight!” said Uncle Vernon gleefully, clapping his hands together.	"{""v. put quickly or forcibly\nv. cause to strike the air in flight\nv. clap one's hands together\nv. strike the air in flight"", 'n. 拍手, 拍手声, 霹雳声, 花柳病\nv. 鼓掌, (使)啪地关上', 'klæp', 'clap'}"
seventy	Neville had been sobbing into Hagrid’s jacket for the last five minutes.Harry was speeding toward the ground when the crowd saw him clap his hand to his mouth as though he was about to be sick — he hit the field on all fours — coughed — and something gold fell into his hand.“I’ve got the Snitch!” he shouted, waving it above his head, and the game ended in complete confusion.“He didn’t catch it, he nearly swallowed it,” Flint was still howling twenty minutes later, but it made no difference — Harry hadn’t broken any rules and Lee Jordan was still happily shouting the results — Gryffindor had won by one hundred and seventy points to sixty.	"{'num. 七十, 七十个', 'seventy', 'n. the cardinal number that is the product of ten and seven\ns. being ten more than sixty', ""'sevnti""}"
sixty	Neville had been sobbing into Hagrid’s jacket for the last five minutes.Harry was speeding toward the ground when the crowd saw him clap his hand to his mouth as though he was about to be sick — he hit the field on all fours — coughed — and something gold fell into his hand.“I’ve got the Snitch!” he shouted, waving it above his head, and the game ended in complete confusion.“He didn’t catch it, he nearly swallowed it,” Flint was still howling twenty minutes later, but it made no difference — Harry hadn’t broken any rules and Lee Jordan was still happily shouting the results — Gryffindor had won by one hundred and seventy points to sixty.	"{'n. the cardinal number that is the product of ten and six\ns. being ten more than fifty', ""'siksti"", 'sixty', 'num. 六十, 六十个'}"
Greek	We think he was trying to steal whatever it’s guarding.”Hagrid dropped the teapot.“How do you know about Fluffy?” he said.“Fluffy?”“Yeah — he’s mine — bought him off a Greek chappie I met in the pub las’ year — I lent him to Dumbledore to guard the —”“Yes?” said Harry eagerly.“Now, don’t ask me anymore,” said Hagrid gruffly.	{'n. 希腊人, 希腊语\na. 希腊的, 希腊人的\n[计] 希腊', 'Greek', 'gri:k', 'n. the Hellenic branch of the Indo-European family of languages\nn. a native or inhabitant of Greece\na. of or relating to or characteristic of Greece or the Greeks or the Greek language'}
chappie	We think he was trying to steal whatever it’s guarding.”Hagrid dropped the teapot.“How do you know about Fluffy?” he said.“Fluffy?”“Yeah — he’s mine — bought him off a Greek chappie I met in the pub las’ year — I lent him to Dumbledore to guard the —”“Yes?” said Harry eagerly.“Now, don’t ask me anymore,” said Hagrid gruffly.	"{'chappie', ""'tʃæpi"", 'n. 喜爱卖弄的人, 花花公子, 家伙, 小伙子', ''}"
jinx	He had his eyes fixed on Harry and was muttering nonstop under his breath.“He’s doing something — jinxing the broom,” said Hermione.“What should we do?”“Leave it to me.”Before Ron could say another word, Hermione had disappeared.	{'v. foredoom to failure', 'dʒiŋks', 'jinx', 'n. 不祥物, 厄运\nvt. 使倒霉'}
hotly	You’ve got to keep eye contact, and Snape wasn’t blinking at all, I saw him!”“I’m tellin’ yeh, yer wrong!” said Hagrid hotly.	"{'adv. 暑热地, 激烈地, 热心地', 'hotly', 'r in a heated manner', ""'hɒtli""}"
meddling	Harry was halfway toward it before he remembered what he’d promised himself about not meddling.All the same, he’d have gambled twelve Sorcerer’s Stones that Snape had just left the room, and from what Harry had just heard, Snape would be walking with a new spring in his step — Quirrell seemed to have given in at last.Harry went back to the library, where Hermione was testing Ron on Astronomy.	{'', 'meddling', 'n. 干预；瞎管', 'n. the act of altering something secretly or improperly'}
froze	Dursley sat frozen in his armchair.	{'freeze的过去式', 'v stop moving or become immobilized\nv change to ice\nv be cold\nv cause to freeze\nv stop a process or a habit by imposing a freeze on it\nv be very cold, below the freezing point\nv change from a liquid to a solid when cold\nv prohibit the conversion or use of (assets)\nv anesthetize by cold\nv suddenly behave coldly and formally', 'frәuz', 'froze'}
stormy	The few owls that managed to battle their way through the stormy sky to deliver mail had to be nursed back to health by Hagrid before they could fly off again.No one could wait for the holidays to start.	"{""'stɒ:mi"", 'a. 暴风雨的, 粗暴的, 激烈的', 'stormy', 'a. (especially of weather) affected or characterized by storms or commotion\ns. characterized by violent emotions or behavior'}"
drafty	While the Gryffindor common room and the Great Hall had roaring fires, the drafty corridors had become icy and a bitter wind rattled the windows in the classrooms.	"{'a. 通风良好的, 有穿堂风的', ""'dræfti"", 's. not airtight', 'drafty'}"
bitter	Harry was thinking about this time yesterday and bitterly wishing he’d opened the letter in the hall.	"{'n. English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft)\nn. the taste experience when quinine or coffee is taken into the mouth\nv. make bitter\ns. very difficult to accept or bear', ""'bitә"", 'a. 苦的, 痛苦的, 怀恨的\nadv. 刺骨\nv. (使)变苦', 'bitter'}"
mist	The Dursleys had received a very angry letter from Harry’s headmistress telling them Harry had been climbing school buildings.	{'n. 雾, 迷蒙, 朦胧不清\nvt. 使模糊, 使蒙上雾\nvi. 变模糊, 下雾', 'n. a thin fog with condensation near the ground\nv. become covered with mist\nv. spray finely or cover with mist', 'mist'}
Christmas	His aunt and uncle hadn’t been able to think of anything else to do with him, but before they’d left, Uncle Vernon had taken Harry aside.“I’m warning you,” he had said, putting his large purple face right up close to Harry’s, “I’m warning you now, boy — any funny business, anything at all — and you’ll be in that cupboard from now until Christmas.”“I’m not going to do anything,” said Harry, “honestly…”But Uncle Vernon didn’t believe him.	"{'n. 圣诞节', 'Christmas', 'n. period extending from Dec. 24 to Jan. 6\nn. a Christian holiday celebrating the birth of Christ; a quarter day in England, Wales, and Ireland', ""'krismәs""}"
widemouthed	Disgusted that the Slytherins had lost, he had tried to get everyone laughing at how a widemouthed tree frog would be replacing Harry as Seeker next.	{'', 'widemouthed', 'waɪdmaʊdð', ' 宽口'}
bucking	Then he’d realized that nobody found this funny, because they were all so impressed at the way Harry had managed to stay on his bucking broomstick.	{'', 'v to strive with determination\nv resist\nv move quickly and violently\nv jump vertically, with legs stiff and back arched', 'bucking', '[机] 浸渍, 浸润'}
jealous	Malfoy seized the package from Harry and felt it.“That’s a broomstick,” he said, throwing it back to Harry with a mixture of jealousy and spite on his face.	"{""'dʒelәs"", 'a. 嫉妒的, 羡慕的, 留心的, 戒备的', 's. suspicious or unduly suspicious or fearful of being displaced by a rival', 'jealous'}"
taunting	So Malfoy, jealous and angry, had gone back to taunting Harry about having no proper family.It was true that Harry wasn’t going back to Privet Drive for Christmas.	{'taunting', 'n aggravation by deriding or mocking or criticizing\nv harass with persistent criticism or carping\ns abusing vocally; expressing contempt or ridicule', 'v. 嘲讽( taunt的现在分词 ); 嘲弄; 辱骂; 奚落', 'tɔ:ntɪŋ'}
drawl	He had a bored, drawling voice.	{'v. 慢吞吞地说, 故意拉长调子讲话\nn. 慢吞吞拉长调子的说话方式', 'n. a slow speech pattern with prolonged vowels\nv. lengthen and slow down or draw out', 'drawl', 'drɒ:l'}
insulting	[]	"{""in'sʌltiŋ"", 'insulting', 'v treat, mention, or speak to rudely\ns expressing extreme contempt', 'a. 侮辱的, 损害人体的'}"
silkily	“Malfoy was insultin’ his family.”“Be that as it may, fighting is against Hogwarts rules, Hagrid,” said Snape silkily.	"{'silkily', 'r. in a silky manner', ""'silkili"", 'adv. 如丝绸一般地；（谈吐等）温和的'}"
smirking	Move along, all of you.”Malfoy, Crabbe, and Goyle pushed roughly past the tree, scattering needles everywhere and smirking.“I’ll get him,” said Ron, grinding his teeth at Malfoy’s back, “one of these days, I’ll get him —”“I hate them both,” said Harry, “Malfoy and Snape.”“Come on, cheer up, it’s nearly Christmas,” said Hagrid.	{'v smile affectedly or derisively', 'smɜ:kɪŋ', 'smirking', 'v. 傻笑( smirk的现在分词 )'}
grinding	Move along, all of you.”Malfoy, Crabbe, and Goyle pushed roughly past the tree, scattering needles everywhere and smirking.“I’ll get him,” said Ron, grinding his teeth at Malfoy’s back, “one of these days, I’ll get him —”“I hate them both,” said Harry, “Malfoy and Snape.”“Come on, cheer up, it’s nearly Christmas,” said Hagrid.	"{'grinding', 'a. 刺耳的, 沉重的, 剧烈的\n[化] 研磨; 磨碎', 'n. material resulting from the process of grinding\nn. a harsh and strident sound (as of the grinding of gears)\nn. the wearing down of rock particles by friction due to water or wind or ice', ""'graindiŋ""}"
mistletoe	Festoons of holly and mistletoe hung all around the walls, and no less than twelve towering Christmas trees stood around the room, some sparkling with tiny icicles, some glittering with hundreds of candles.“How many days you got left until yer holidays?” Hagrid asked.“Just one,” said Hermione.	"{'mistletoe', 'n. American plants closely resembling Old World mistletoe\nn. Old World parasitic shrub having branching greenish stems with leathery leaves and waxy white glutinous berries; the traditional mistletoe of Christmas\nn. shrub of central and southeastern Europe; partially parasitic on beeches, chestnuts and oaks', ""'misltәu"", 'n. 槲寄生属植物\n[医] 槲寄生(跗寄生属植物通称)'}"
towering	Festoons of holly and mistletoe hung all around the walls, and no less than twelve towering Christmas trees stood around the room, some sparkling with tiny icicles, some glittering with hundreds of candles.“How many days you got left until yer holidays?” Hagrid asked.“Just one,” said Hermione.	"{'towering', 'v appear very large or occupy a commanding position\ns of imposing height; especially standing out above others', 'a. 高耸的, 激烈的', ""'tauәriŋ""}"
trailing	“And that reminds me — Harry, Ron, we’ve got half an hour before lunch, we should be in the library.”“Oh yeah, you’re right,” said Ron, tearing his eyes away from Professor Flitwick, who had golden bubbles blossoming out of his wand and was trailing them over the branches of the new tree.“The library?” said Hagrid, following them out of the hall.	"{'n. the pursuit (of a person or animal) by following tracks or marks they left behind', 'trailing', ""'treiliŋ"", 'a. 牵引的；后面的；被拖动的；蔓延的；拖尾的'}"
flatly	“We must’ve been through hundreds of books already and we can’t find him anywhere — just give us a hint — I know I’ve read his name somewhere.”“I’m sayin’ nothin’, said Hagrid flatly.“Just have to find out for ourselves, then,” said Ron, and they left Hagrid looking disgruntled and hurried off to the library.They had indeed been searching books for Flamel’s name ever since Hagrid had let it slip, because how else were they going to find out what Snape was trying to steal?	"{'r. in an unqualified manner', ""'flætli"", 'adv. 枯燥无味地, 完全地, 直截了当地, 毅然地, 断然地', 'flatly'}"
duster	These were the books containing powerful Dark Magic never taught at Hogwarts, and only read by older students studying advanced Defense Against the Dark Arts.“What are you looking for, boy?”“Nothing,” said Harry.Madam Pince the librarian brandished a feather duster at him.“You’d better get out, then.	"{""'dʌstә"", 'duster', 'n. 掸子, 打扫灰尘的人', 'n. a loose coverall (coat or frock) reaching down to the ankles\nn. a pitch thrown deliberately close to the batter'}"
hopeful	Harry knew he ought to feel sorry that Mrs. Figg had broken her leg, but it wasn’t easy when he reminded himself it would be a whole year before he had to look at Tibbles, Snowy, Mr. Paws, and Tufty again.“We could phone Marge,” Uncle Vernon suggested.“Don’t be silly, Vernon, she hates the boy.”The Dursleys often spoke about Harry like this, as though he wasn’t there — or rather, as though he was something very nasty that couldn’t understand them, like a slug.“What about what’shername, your friend — Yvonne?”“On vacation in Majorca,” snapped Aunt Petunia.“You could just leave me here,” Harry put in hopefully (he’d be able to watch what he wanted on television for a change and maybe even have a go on Dudley’s computer).Aunt Petunia looked as though she’d just swallowed a lemon.“And come back and find the house in ruins?” she snarled.“I won’t blow up the house,” said Harry, but they weren’t listening.“I suppose we could take him to the zoo,” said Aunt Petunia slowly, “…and leave him in the car.…”“That car’s new, he’s not sitting in it alone.…”Dudley began to cry loudly.	"{""'hәupful"", 'a. having or manifesting hope', 'n. 有希望之人, 有前途之人\na. 有希望的, 怀抱希望的, 保持乐观的', 'hopeful'}"
emptier	They had the dormitory to themselves and the common room was far emptier than usual, so they were able to get the good armchairs by the fire.	"{'emptier', 'a holding or containing nothing\ns devoid of significance or point\ns needing nourishment\ns emptied of emotion', ""'emptaiә"", 'n. 卸载器；排空装置'}"
spear	Pointing this at Uncle Vernon like a sword, he said, “I’m warning you, Dursley — I’m warning you — one more word….”In danger of being speared on the end of an umbrella by a bearded giant, Uncle Vernon’s courage failed again; he flattened himself against the wall and fell silent.“That’s better,” said Hagrid, breathing heavily and sitting back down on the sofa, which this time sagged right down to the floor.Harry, meanwhile, still had questions to ask, hundreds of them.“But what happened to Vol, sorry — I mean, YouKnowWho?”“Good question, Harry.	{'spear', 'n. 矛, 枪, 持矛者, 嫩枝\nvt. 用矛刺\nvi. 刺, 戳\na. 父系的', 'spiә', 'n. a long pointed rod used as a tool or weapon\nn. an implement with a shaft and barbed point used for catching fish\nv. pierce with a spear\nv. thrust up like a spear'}
English	They sat by the hour eating anything they could spear on a toasting fork — bread, English muffins, marshmallows — and plotting ways of getting Malfoy expelled, which were fun to talk about even if they wouldn’t work.Ron also started teaching Harry wizard chess.	"{'n. an Indo-European language belonging to the West Germanic branch; the official language of Britain and the United States and most of the commonwealth countries\nn. the people of England\nn. the discipline that studies the English language and literature', ""'iŋgliʃ"", 'English', 'n. 英语\na. 英文的, 英国人的'}"
plotting	They sat by the hour eating anything they could spear on a toasting fork — bread, English muffins, marshmallows — and plotting ways of getting Malfoy expelled, which were fun to talk about even if they wouldn’t work.Ron also started teaching Harry wizard chess.	"{""'plɒtiŋ"", 'plotting', 'v plan secretly, usually something illegal\nv make a schematic or technical drawing of that shows interactions among variables or how something is constructed\nv make a plat of\nv devise the sequence of events in (a literary work or a play, movie, or ballet)', 'n. 标绘, 绘图\n[化] 绘图'}"
grandfather	Like everything else he owned, it had once belonged to someone else in his family — in this case, his grandfather.	"{""'grændfɑ:ðә"", 'n. the father of your father or mother', 'n. 祖父, 始祖\n[电] 原始资料组', 'grandfather'}"
chessman	However, old chessmen weren’t a drawback at all.	"{'n. any of 16 white and 16 black pieces used in playing the game of chess', 'chessman', 'n. (国际象棋)棋子', ""'tʃesmәn""}"
drawback	However, old chessmen weren’t a drawback at all.	"{""'drɒ:bæk"", 'drawback', 'n. 缺点, 退税\n[法] 退款, 退税', 'n. the quality of being a hindrance'}"
flute	Inside was a roughly cut wooden flute.	{'flute', 'n. a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown\nn. a tall narrow wineglass\nn. a groove or furrow in cloth etc (particularly a shallow concave groove on the shaft of a column)\nv. form flutes in', 'n. 笛, 横笛, 凹槽\nvi. 吹笛子\nvt. 用长笛奏, 刻凹槽于', 'flu:t'}
enclose	Please find enclosed a list of all necessary books and equipment.Term begins on September 1.	"{'v. close in; darkness enclosed him""\nv. surround completely', 'vt. 围绕, 圈起, 放入封套, 附上', 'enclose', ""in'klәuz""}"
fascinated	Taped to the note was a fiftypence piece.“That’s friendly,” said Harry.Ron was fascinated by the fifty pence.“Weird!” he said, ‘What a shape!	{'', 'a. 着迷的；被深深吸引的', 's. having your attention fixated as though by a spell', 'fascinated'}
torn	I told her you didn’t expect any presents and — oh, no,” he groaned, “she’s made you a Weasley sweater.”Harry had torn open the parcel to find a thick, handknitted sweater in emerald green and a large box of homemade fudge.“Every year she makes us a sweater,” said Ron, unwrapping his own, “and mine’s always maroon.”“That’s really nice of her,” said Harry, trying the fudge, which was very tasty.His next present also contained candy — a large box of Chocolate Frogs from Hermione.This only left one parcel.	{'s. disrupted by the pull of contrary forces', 'torn', 'tɒ:n', 'tear的过去分词'}
homemade	I told her you didn’t expect any presents and — oh, no,” he groaned, “she’s made you a Weasley sweater.”Harry had torn open the parcel to find a thick, handknitted sweater in emerald green and a large box of homemade fudge.“Every year she makes us a sweater,” said Ron, unwrapping his own, “and mine’s always maroon.”“That’s really nice of her,” said Harry, trying the fudge, which was very tasty.His next present also contained candy — a large box of Chocolate Frogs from Hermione.This only left one parcel.	"{'homemade', 'a. 自制的, 国产的', 'a. made or produced in the home or by yourself', ""'hәum'meid""}"
fudge	I told her you didn’t expect any presents and — oh, no,” he groaned, “she’s made you a Weasley sweater.”Harry had torn open the parcel to find a thick, handknitted sweater in emerald green and a large box of homemade fudge.“Every year she makes us a sweater,” said Ron, unwrapping his own, “and mine’s always maroon.”“That’s really nice of her,” said Harry, trying the fudge, which was very tasty.His next present also contained candy — a large box of Chocolate Frogs from Hermione.This only left one parcel.	{'fʌdʒ', 'n. soft creamy candy\nv. tamper, with the purpose of deception', 'n. 虚构的故事, 谎言, 胡说\ninterj. 胡说八道\nvi. 蒙混, 做傻事\nvt. 粗制滥造, 捏造, 逃避职责', 'fudge'}
unwrapping	I told her you didn’t expect any presents and — oh, no,” he groaned, “she’s made you a Weasley sweater.”Harry had torn open the parcel to find a thick, handknitted sweater in emerald green and a large box of homemade fudge.“Every year she makes us a sweater,” said Ron, unwrapping his own, “and mine’s always maroon.”“That’s really nice of her,” said Harry, trying the fudge, which was very tasty.His next present also contained candy — a large box of Chocolate Frogs from Hermione.This only left one parcel.	"{'unwrapping', ""ʌn'ræpɪŋ"", 'v. 移去…的包裹物, 打开, 展开( unwrap的现在分词 )', 'v remove the outer cover or wrapping of\nv make known to the public information that was previously known only to a few people or that was meant to be kept a secret'}"
